sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
2x618,2,618,3745,0.92,1678,2419,10339.1111111111,157635.666666667,68,74,2553,7827,461,15286,331,1104,0,76,9405,38222,2x618,Lung5,macrophage,stroma
2x619,2,619,5129,0.95,2023,2386,10684.1111111111,157602.666666667,114,120,7206,26829,531,1098,252,857,0,90,4,2415,2x619,Lung5,fibroblast,plasmablast-enriched stroma
2x620,2,620,2667,0.74,4733,2409,13394.1111111111,157625.666666667,55,74,2876,6853,19593,65237,379,806,1,141,9684,23514,2x620,Lung5,tumor 5,tumor interior
2x621,2,621,6027,1.06,4087,2398,12748.1111111111,157614.666666667,115,108,3292,16958,24669,65249,372,948,0,152,6869,24933,2x621,Lung5,tumor 5,tumor interior
2x622,2,622,3971,1.27,4243,2404,12904.1111111111,157620.666666667,112,88,2914,7712,27916,58224,347,768,0,182,7366,27028,2x622,Lung5,tumor 5,tumor interior
2x623,2,623,2394,0.58,4120,2406,12781.1111111111,157622.666666667,49,85,3757,8449,31146,65251,433,14466,2,326,2697,15020,2x623,Lung5,tumor 5,tumor interior
2x624,2,624,2353,0.76,3581,2390,12242.1111111111,157606.666666667,71,93,4093,10277,41234,65235,457,846,2,212,10114,30005,2x624,Lung5,tumor 5,tumor interior
2x625,2,625,6060,0.86,3966,2368,12627.1111111111,157584.666666667,124,144,4747,12023,36666,65247,389,1424,36,1199,4168,30529,2x625,Lung5,tumor 5,tumor interior
2x626,2,626,2801,0.93,4838,2405,13499.1111111111,157621.666666667,63,68,2467,8366,11195,48337,330,706,0,146,11591,23784,2x626,Lung5,tumor 5,tumor interior
2x627,2,627,3956,0.87,4028,2390,12689.1111111111,157606.666666667,81,93,2734,11467,29974,65274,304,809,1,243,7753,27108,2x627,Lung5,tumor 5,tumor interior
2x628,2,628,5031,0.74,380,2388,9041.11111111111,157604.666666667,71,96,1673,4109,33304,65282,284,706,0,51,3917,15092,2x628,Lung5,epithelial,stroma
2x629,2,629,3831,0.73,2836,2393,11497.1111111111,157609.666666667,63,86,9299,22171,888,2708,947,6262,1,411,6028,39107,2x629,Lung5,plasmablast,tumor-stroma boundary
2x630,2,630,3655,0.71,2932,2393,11593.1111111111,157609.666666667,60,85,5970,32857,1115,2123,657,2038,18,1114,9187,58336,2x630,Lung5,plasmablast,tumor-stroma boundary
2x631,2,631,1934,1.1,5443,2401,14104.1111111111,157617.666666667,56,51,2020,5776,10346,25019,250,586,2,164,11797,26508,2x631,Lung5,tumor 5,tumor interior
2x632,2,632,3149,0.69,3611,2381,12272.1111111111,157597.666666667,74,107,4844,13668,49675,65246,453,1009,3,395,7315,27318,2x632,Lung5,tumor 5,tumor interior
2x633,2,633,1633,0.7,4693,2400,13354.1111111111,157616.666666667,39,56,4008,7330,25480,51270,401,763,1,232,2294,15654,2x633,Lung5,tumor 5,tumor interior
2x634,2,634,2965,1.16,1367,2389,10028.1111111111,157605.666666667,66,57,1483,4425,10044,65211,271,840,0,115,6449,25367,2x634,Lung5,mast,stroma
2x635,2,635,4056,0.85,4894,2383,13555.1111111111,157599.666666667,68,80,5242,15864,14933,50022,280,7905,0,201,4387,19863,2x635,Lung5,tumor 5,tumor interior
2x636,2,636,3453,0.98,197,2379,8858.11111111111,157595.666666667,78,80,2413,5841,607,26926,618,1172,0,145,11185,35326,2x636,Lung5,fibroblast,stroma
2x637,2,637,6752,0.93,3646,2367,12307.1111111111,157583.666666667,104,112,4662,13725,38788,65273,379,947,39,930,2473,19424,2x637,Lung5,tumor 5,tumor interior
2x638,2,638,3923,0.84,3984,2379,12645.1111111111,157595.666666667,76,91,2653,7460,27555,65230,378,811,0,112,6845,23823,2x638,Lung5,tumor 5,tumor interior
